"id","alert_id","incident_id","model_name","description","status","severity","score","created_at","updated_at","cust_name","date_fetch"
174,WB-21683-20251218-00010,,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-18 14:51:23.000,2025-12-18 14:51:23.000,Felcra,2025-12-19 13:11:47.956
175,WB-21683-20251218-00009,,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-18 14:36:02.000,2025-12-18 14:36:02.000,Felcra,2025-12-19 13:11:47.956
176,WB-21683-20251218-00008,,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-18 14:20:37.000,2025-12-18 14:20:37.000,Felcra,2025-12-19 13:11:47.956
177,WB-21683-20251218-00007,,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-18 14:17:43.000,2025-12-18 14:17:43.000,Felcra,2025-12-19 13:11:47.956
178,WB-21683-20251218-00006,,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-18 14:17:36.000,2025-12-18 14:17:36.000,Felcra,2025-12-19 13:11:47.956
179,WB-21683-20251218-00004,,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-18 14:16:35.000,2025-12-18 14:16:35.000,Felcra,2025-12-19 13:11:47.956
180,WB-21683-20251218-00005,,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-18 14:16:16.000,2025-12-18 14:16:16.000,Felcra,2025-12-19 13:11:47.956
191,WB-21683-20251222-00000,IC-21683-20251217-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-22 01:38:40.000,2025-12-22 01:39:22.000,Felcra,2025-12-22 17:04:56.009
192,WB-21683-20251221-00013,IC-21683-20251217-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-21 21:26:20.000,2025-12-22 01:39:22.000,Felcra,2025-12-22 17:04:56.009
193,WB-21683-20251221-00012,IC-21683-20251217-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-21 15:01:40.000,2025-12-22 01:39:22.000,Felcra,2025-12-22 17:04:56.009
194,WB-21683-20251221-00011,IC-21683-20251217-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-21 14:46:03.000,2025-12-22 01:39:22.000,Felcra,2025-12-22 17:04:56.009
195,WB-21683-20251221-00010,IC-21683-20251217-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-21 14:40:32.000,2025-12-22 01:39:22.000,Felcra,2025-12-22 17:04:56.009
196,WB-21683-20251221-00009,IC-21683-20251217-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-21 14:22:33.000,2025-12-22 01:39:22.000,Felcra,2025-12-22 17:04:56.009
197,WB-21683-20251221-00008,IC-21683-20251217-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-21 14:22:21.000,2025-12-22 01:39:22.000,Felcra,2025-12-22 17:04:56.009
198,WB-21683-20251221-00007,IC-21683-20251217-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-21 14:20:53.000,2025-12-22 01:39:22.000,Felcra,2025-12-22 17:04:56.009
199,WB-21683-20251221-00006,IC-21683-20251217-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-21 14:20:31.000,2025-12-22 01:39:22.000,Felcra,2025-12-22 17:04:56.009
200,WB-21683-20251221-00005,IC-21683-20251217-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-21 14:17:58.000,2025-12-22 01:39:22.000,Felcra,2025-12-22 17:04:56.009
120,WB-21541-20251216-00009,IC-21541-20251204-00000,Data Destruction via DD Command - Unix,Overwrites and deletes a file using DD in Unix.,Open,low,27,2025-12-16 19:28:27.000,2025-12-17 09:33:08.000,YPPB,2025-12-22 17:05:08.583
